Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Equity in noncorporate business,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
1989:Q3,Silent,17649120,5648793,4588120,1060674,12000326,2433812,309876,893002,775331,117671,277918,163391,114527,1685121,219481,274030,454999,3103475,2209502,139110,1267424,1257740,831951,308981,2354,114454,9684,16381696,48553376
1989:Q3,BabyBoom,5808847,3051118,2260930,790188,2757729,510502,52393,171564,129871,41693,15948,5471,10477,374233,137853,54773,228962,378317,747969,85216,1831588,1825424,1355260,445761,2171,22233,6164,3977259,39289625
1989:Q3,GenX,131077,89437,44119,45318,41640,12634,374,4954,4644,310,0,0,0,3841,2859,28,1229,545,12153,3023,53761,53633,23943,29466,7,217,128,77316,5177100
1989:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989:Q4,Silent,17908857,5722025,4654123,1067902,12186832,2443224,315117,901378,778124,123255,293634,176172,117462,1732371,225909,281025,472658,3153761,2226315,141439,1290657,1280630,847741,315406,2299,115185,10027,16618200,48581895
1989:Q4,BabyBoom,5981476,3100156,2292637,807519,2881320,539612,61374,174037,131918,42119,20869,10491,10378,388517,142119,59840,240239,410545,756958,87210,1876276,1869855,1386979,459609,2081,21186,6421,4105200,39314788
1989:Q4,GenX,151381,97719,47557,50162,53662,17668,746,5556,5085,471,0,0,0,3905,3603,175,2298,2768,13555,3387,60610,60409,25862,34270,10,267,201,90771,5366102
1989:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q1,Silent,17971608,5735289,4643290,1092000,12236318,2433152,326329,897289,776991,120299,315338,194573,120764,1681654,229889,287922,478588,3201916,2238287,145954,1310509,1300663,874908,306278,2884,116594,9846,16661098,48563739
1990:Q1,BabyBoom,6022556,3136911,2316172,820739,2885645,547316,75777,173537,132942,40594,35905,25620,10286,324370,143977,64889,234900,431051,763259,90663,1911364,1905108,1429090,449441,2555,24021,6257,4111192,39352975
1990:Q1,GenX,165097,107766,53522,54245,57331,20570,1553,6235,5610,625,0,0,0,0,4128,330,712,4983,14847,3973,68514,68320,31401,36601,19,299,194,96584,5588046
1990:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q2,Silent,18196150,5803168,4708191,1094978,12392982,2423803,316476,926526,801514,125012,324005,200632,123373,1733987,234513,295328,487389,3250157,2254553,146243,1333843,1323999,898680,305426,2360,117533,9844,16862307,48501343
1990:Q2,BabyBoom,6136599,3162008,2324613,837396,2974591,556713,71512,183044,142317,40728,35883,25702,10181,342879,146795,80697,234108,456980,774352,91627,1945769,1939521,1460514,452596,2056,24355,6248,4190830,39403449
1990:Q2,GenX,178456,112372,52359,60014,66084,23915,966,6853,6013,839,0,0,0,0,4812,1143,0,7478,16642,4275,78000,77781,36722,40690,19,350,218,100457,5841384
1990:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q3,Silent,18173686,5829005,4718374,1110630,12344681,2418409,325497,960088,835202,124886,334192,208034,126158,1565612,238218,301570,484421,3296738,2271589,148348,1349635,1339825,914657,306542,1026,117600,9810,16824050,48397139
1990:Q3,BabyBoom,6077859,3225309,2383032,842277,2852550,571648,84356,195397,155605,39792,38365,28286,10079,162090,148852,77909,218309,474437,787362,93824,1978623,1972402,1492157,459807,882,19556,6221,4099236,39465470
1990:Q3,GenX,201890,124566,61320,63247,77323,28253,1728,7427,6364,1063,0,0,0,0,5460,858,0,10073,18747,4777,87096,86856,40452,45953,9,442,240,114794,6124564
1990:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q4,Silent,18414465,5792928,4672673,1120256,12621537,2424012,326186,1003888,853459,150429,347839,219243,128596,1692222,241911,308142,504208,3343185,2279747,150197,1358026,1347994,921480,306443,1154,118917,10033,17056439,48253561
1990:Q4,BabyBoom,6305849,3252659,2401688,850971,3053189,600682,89894,207962,164365,43597,50896,40924,9972,250640,151145,83220,232988,495731,794056,95976,2022267,2015850,1526510,466077,970,22293,6416,4283582,39538300
1990:Q4,GenX,231045,139850,72035,67815,91194,34871,1925,8394,6892,1502,0,0,0,0,6194,1076,0,12994,20425,5315,94510,94195,41822,51870,13,490,315,136534,6436036
1990:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991:Q1,Silent,18660730,5791815,4667370,1124445,12868915,2415660,347273,980669,821186,159483,354806,225001,129805,1868448,245511,314376,530065,3389023,2272812,150271,1354541,1344596,928281,294400,2034,119881,9944,17306189,48073044
1991:Q1,BabyBoom,6534561,3271276,2403055,868221,3263285,614314,113785,199055,155079,43976,53009,43150,9859,385818,153578,82782,258199,517018,788586,97141,2041792,2035433,1557927,452867,1664,22975,6359,4492769,39621201
1991:Q1,GenX,257829,152097,76979,75118,105733,39905,3812,9919,8017,1902,0,0,0,0,7008,912,1210,16214,21008,5745,99348,99013,43483,54940,31,558,335,158482,6774249
1991:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
