Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1989:Q3,Silent,80.2,74.8,66.6,55.9,81.7,89.1,71.9,74.4,81.1,40.2,37.6,39.4,80.4
1989:Q3,BabyBoom,19.5,24.6,32.8,41.7,18.1,10.9,28,25.2,18.5,58.1,61.3,56.8,19.4
1989:Q3,GenX,0.4,0.6,0.6,2.4,0.2,0,0.1,0.4,0.5,1.7,1.1,3.8,0.2
1989:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1989:Q4,Silent,79.8,74.5,66.5,55.5,81.5,88.4,71.4,74.3,80.4,40,37.5,39,80.9
1989:Q4,BabyBoom,19.7,24.9,32.8,41.9,18.3,11.5,28.4,25.3,19.1,58.1,61.4,56.8,18.8
1989:Q4,GenX,0.4,0.6,0.7,2.6,0.2,0.1,0.2,0.5,0.6,1.9,1.1,4.2,0.3
1989:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q1,Silent,79.8,74.4,66.2,55.5,83.8,88,71.8,74.2,79.8,39.8,37.5,38.7,79.5
1990:Q1,BabyBoom,19.7,24.9,33,41.7,16.2,11.8,28.1,25.3,19.6,58.1,61.2,56.7,20.2
1990:Q1,GenX,0.5,0.7,0.8,2.8,0,0.1,0.1,0.5,0.7,2.1,1.3,4.6,0.3
1990:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q2,Silent,79.7,74.2,66.5,55,83.5,87.5,71.2,74,79.5,39.7,37.5,38.2,79.6
1990:Q2,BabyBoom,19.8,25,32.8,42,16.5,12.3,28.7,25.4,19.7,58,61,56.7,20
1990:Q2,GenX,0.5,0.7,0.7,3,0,0.2,0.1,0.5,0.7,2.3,1.5,5.1,0.4
1990:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q3,Silent,80,74.3,65.9,55.1,90.6,87.2,72.6,73.8,78.9,39.5,37.4,37.7,82.4
1990:Q3,BabyBoom,19.5,24.9,33.3,41.8,9.4,12.5,27.3,25.6,20.2,57.9,61,56.6,17.1
1990:Q3,GenX,0.5,0.8,0.9,3.1,0,0.3,0.1,0.6,0.9,2.6,1.7,5.7,0.4
1990:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q4,Silent,79.4,73.8,65.4,54.9,87.1,86.8,71.9,73.7,78.2,39.1,37,37.2,81
1990:Q4,BabyBoom,19.9,25.3,33.6,41.7,12.9,12.9,28,25.7,20.8,58.2,61.3,56.5,18.5
1990:Q4,GenX,0.6,0.9,1,3.3,0,0.3,0.1,0.7,1,2.7,1.7,6.3,0.5
1990:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1991:Q1,Silent,78.8,73.3,65.3,54.4,82.9,86.4,71.1,73.7,77.6,38.7,36.7,36.7,80.5
1991:Q1,BabyBoom,20.5,25.7,33.6,42,17.1,13.2,28.7,25.6,21.3,58.4,61.6,56.5,18.9
1991:Q1,GenX,0.7,1,1.1,3.6,0,0.4,0.2,0.7,1.1,2.8,1.7,6.8,0.6
1991:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0
1991:Q2,Silent,78.8,73.2,65.1,54.1,83.7,85.9,71.1,73.7,77.7,38.5,36.6,36.1,80.8
1991:Q2,BabyBoom,20.4,25.7,33.8,42.1,16.3,13.6,28.7,25.6,21.1,58.4,61.5,56.4,18.6
1991:Q2,GenX,0.8,1.1,1.1,3.9,0,0.5,0.2,0.7,1.2,3.1,1.9,7.5,0.6
