DATE,Median Household Income,,,,,
1984,56780,,,,,
1985,57860,,,,,
1986,60010,,,,,
1987,60760,,,,,
1988,61210,,,,,
1989,62260,,,,,
1990,61500,,,,,
1991,59710,,,,,
1992,59210,,,,,
1993,58920,,,,,
1994,59550,,,,,
1995,61440,,,,,
1996,62350,,,,,
1997,63640,,,,,
1998,65980,,,,,
1999,67650,,,,,
2000,67470,,,,,
2001,66360,,,,,
2002,65820,,,,,
2003,65860,,,,,
2004,65760,,,,,
2005,66780,,,,,
2006,67520,,,,,
2007,68610,,,,,
2008,66280,,,,,
2009,65850,,,,,
2010,64300,,,,,
2011,63350,,,,,
2012,63350,,,,,
2013,65740,,,,,
2014,64900,,,,,
2015,68410,,,,,
2016,70840,,,,,
2017,72090,,,,,
2018,73030,,,,,
2019,78250,,,,,
2020,76660,,,,,
2021,76330,,,,,
2022,74580,,,,,
