Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Equity in noncorporate business,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
1989:Q3,Silent,74.8,64.3,66.6,55.9,81.1,82.3,85.4,83.5,85.2,73.7,94.6,96.8,91.6,81.7,60.9,83.3,66.4,89.1,74.4,61.2,40.2,40.1,37.6,39.4,51.9,83.6,60.6,80.2,48553376
1989:Q3,BabyBoom,24.6,34.7,32.8,41.7,18.6,17.3,14.4,16,14.3,26.1,5.4,3.2,8.4,18.1,38.3,16.7,33.4,10.9,25.2,37.5,58.1,58.2,61.3,56.8,47.9,16.2,38.6,19.5,39289625
1989:Q3,GenX,0.6,1,0.6,2.4,0.3,0.4,0.1,0.5,0.5,0.2,0,0,0,0.2,0.8,0,0.2,0,0.4,1.3,1.7,1.7,1.1,3.8,0.2,0.2,0.8,0.4,5177100
1989:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989:Q4,Silent,74.5,64.1,66.5,55.5,80.6,81.4,83.5,83.4,85,74.3,93.4,94.4,91.9,81.5,60.8,82.4,66.1,88.4,74.3,61,40,39.9,37.5,39,52.4,84.3,60.2,79.8,48581895
1989:Q4,BabyBoom,24.9,34.8,32.8,41.9,19.1,18,16.3,16.1,14.4,25.4,6.6,5.6,8.1,18.3,38.2,17.5,33.6,11.5,25.3,37.6,58.1,58.2,61.4,56.8,47.4,15.5,38.6,19.7,39314788
1989:Q4,GenX,0.6,1.1,0.7,2.6,0.4,0.6,0.2,0.5,0.6,0.3,0,0,0,0.2,1,0.1,0.3,0.1,0.5,1.5,1.9,1.9,1.1,4.2,0.2,0.2,1.2,0.4,5366102
1989:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q1,Silent,74.4,63.9,66.2,55.5,80.6,81.1,80.8,83.3,84.9,74.5,89.8,88.4,92.2,83.8,60.8,81.5,67,88,74.2,60.7,39.8,39.7,37.5,38.7,52.8,82.7,60.4,79.8,48563739
1990:Q1,BabyBoom,24.9,34.9,33,41.7,19,18.2,18.8,16.1,14.5,25.1,10.2,11.6,7.8,16.2,38.1,18.4,32.9,11.8,25.3,37.7,58.1,58.2,61.2,56.7,46.8,17,38.4,19.7,39352975
1990:Q1,GenX,0.7,1.2,0.8,2.8,0.4,0.7,0.4,0.6,0.6,0.4,0,0,0,0,1.1,0.1,0.1,0.1,0.5,1.7,2.1,2.1,1.3,4.6,0.3,0.2,1.2,0.5,5588046
1990:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q2,Silent,74.2,63.9,66.5,55,80.3,80.7,81.4,83,84.4,75,90,88.6,92.4,83.5,60.7,78.3,67.6,87.5,74,60.4,39.7,39.6,37.5,38.2,53.2,82.6,60.4,79.7,48501343
1990:Q2,BabyBoom,25,34.8,32.8,42,19.3,18.5,18.4,16.4,15,24.4,10,11.4,7.6,16.5,38,21.4,32.4,12.3,25.4,37.8,58,58,61,56.7,46.4,17.1,38.3,19.8,39403449
1990:Q2,GenX,0.7,1.2,0.7,3,0.4,0.8,0.2,0.6,0.6,0.5,0,0,0,0,1.2,0.3,0,0.2,0.5,1.8,2.3,2.3,1.5,5.1,0.4,0.2,1.3,0.5,5841384
1990:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q3,Silent,74.3,63.5,65.9,55.1,80.8,80.1,79.1,82.6,83.8,75.3,89.7,88,92.6,90.6,60.7,79.3,68.9,87.2,73.8,60.1,39.5,39.4,37.4,37.7,53.5,85.5,60.3,80,48397139
1990:Q3,BabyBoom,24.9,35.1,33.3,41.8,18.7,18.9,20.5,16.8,15.6,24,10.3,12,7.4,9.4,37.9,20.5,31.1,12.5,25.6,38,57.9,58,61,56.6,46,14.2,38.2,19.5,39465470
1990:Q3,GenX,0.8,1.4,0.9,3.1,0.5,0.9,0.4,0.6,0.6,0.6,0,0,0,0,1.4,0.2,0,0.3,0.6,1.9,2.6,2.6,1.7,5.7,0.5,0.3,1.5,0.5,6124564
1990:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990:Q4,Silent,73.8,63.1,65.4,54.9,80.1,79.2,78,82.3,83.3,76.9,87.2,84.3,92.8,87.1,60.6,78.5,68.4,86.8,73.7,59.7,39.1,39,37,37.2,54,83.9,59.8,79.4,48253561
1990:Q4,BabyBoom,25.3,35.4,33.6,41.7,19.4,19.6,21.5,17,16,22.3,12.8,15.7,7.2,12.9,37.9,21.2,31.6,12.9,25.7,38.2,58.2,58.3,61.3,56.5,45.4,15.7,38.3,19.9,39538300
1990:Q4,GenX,0.9,1.5,1,3.3,0.6,1.1,0.5,0.7,0.7,0.8,0,0,0,0,1.6,0.3,0,0.3,0.7,2.1,2.7,2.7,1.7,6.3,0.6,0.3,1.9,0.6,6436036
1990:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991:Q1,Silent,73.3,62.9,65.3,54.4,79.3,78.7,74.7,82.4,83.4,77.7,87,83.9,92.9,82.9,60.5,79,67.1,86.4,73.7,59.4,38.7,38.6,36.7,36.7,54.5,83.6,59.8,78.8,48073044
1991:Q1,BabyBoom,25.7,35.5,33.6,42,20.1,20,24.5,16.7,15.8,21.4,13,16.1,7.1,17.1,37.8,20.8,32.7,13.2,25.6,38.4,58.4,58.5,61.6,56.5,44.6,16,38.2,20.5,39621201
1991:Q1,GenX,1,1.7,1.1,3.6,0.7,1.3,0.8,0.8,0.8,0.9,0,0,0,0,1.7,0.2,0.2,0.4,0.7,2.3,2.8,2.8,1.7,6.8,0.8,0.4,2,0.7,6774249
1991:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991:Q2,Silent,73.2,62.6,65.1,54.1,79.3,78.9,75.2,82.1,82.9,78.4,88,85.3,93.1,83.7,60.2,78.6,67.3,85.9,73.7,59,38.5,38.4,36.6,36.1,54.9,83.4,59.7,78.8,47858021
1991:Q2,BabyBoom,25.7,35.6,33.8,42.1,20,19.8,24.1,17,16.2,20.5,12,14.7,6.9,16.3,37.9,21.2,32.6,13.6,25.6,38.6,58.4,58.5,61.5,56.4,44.2,16.2,38.2,20.4,39713433
1991:Q2,GenX,1.1,1.8,1.1,3.9,0.7,1.4,0.7,0.9,0.9,1.1,0,0,0,0,1.9,0.2,0.1,0.5,0.7,2.4,3.1,3.1,1.9,7.5,0.9,0.4,2.1,0.8,7137654
1991:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991:Q3,Silent,72.8,62.2,64.5,54.1,78.8,78.6,74.8,81.7,82.4,78.2,86.9,83.7,93.2,82.1,60.1,78.5,66.4,85.5,73.7,58.5,38.5,38.4,36.8,35.6,55.4,79.2,59.7,78.3,47610924
