Year (Q4),BabyBoom,GenX,Millennial,Silent,,
1989,59642.00,1806.00,0,208044.00,,
1990,61561.00,2423.00,0,215243.00,,
1991,69911.00,3534.00,0,231121.00,,
1992,78361.00,4619.00,0,241286.00,,
1993,88424.00,7119.00,0,253392.00,,
1994,97209.00,8135.00,0,261669.00,,
1995,113557.00,10374.00,0,279367.00,,
1996,127640.00,13359.00,0,296417.00,,
1997,148059.00,19631.00,0,320125.00,,
1998,175115.00,26700.00,0,346293.00,,
1999,206461.00,35587.00,0,368844.00,,
2000,222330.00,36415.00,0,377314.00,,
2001,236303.00,39353.00,304,371881.00,,
2002,242144.00,33914.00,453,398628.00,,
2003,276279.00,43967.00,1050.00,437996.00,,
2004,323248.00,61166.00,1638.00,484689.00,,
2005,360194.00,82344.00,3253.00,519803.00,,
2006,396696.00,95784.00,3967.00,547765.00,,
2007,419495.00,99580.00,4826.00,560740.00,,
2008,386088.00,69142.00,4515.00,507340.00,,
2009,416691.00,77632.00,6247.00,502570.00,,
2010,453064.00,107503.00,8264.00,520016.00,,
2011,463794.00,119653.00,8944.00,493349.00,,
2012,498410.00,149782.00,10184.00,521253.00,,
2013,554298.00,198410.00,18545.00,558063.00,,
2014,611221.00,214253.00,25244.00,596781.00,,
2015,650483.00,218346.00,32554.00,617012.00,,
2016,694987.00,243135.00,40491.00,640076.00,,
2017,749584.00,315792.00,49507.00,657272.00,,
2018,755453.00,354087.00,54647.00,624483.00,,
2019,845135.00,438025.00,66314.00,668936.00,,
2020,964170.00,512071.00,75702.00,772956.00,,
2021,1073538,630022.00,106241.00,1003616,,
2022,1063858,597063.00,108250.00,974303.00,,
